,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,ID,Section,slideNumber
10628,2.034,6.781,3.686,3.245,6.580,3.290,0.007,0.174,1.001,0.007,0.171,1.010,0.001,0.164,1.004,4.381,5.959,2.146,139585,3,1.0,,
10629,5.368,5.615,0.366,5.623,5.540,1.136,0.005,0.157,0.996,0.005,0.153,0.995,0.001,0.150,0.998,5.742,5.226,2.340,139585,3,1.0,,
10630,5.466,4.404,3.686,4.995,3.402,5.294,0.005,0.148,1.001,0.008,0.144,0.994,0.010,0.139,0.992,4.314,2.430,7.215,139585,3,1.0,,
10631,3.282,1.136,9.316,2.609,0.292,11.499,0.009,0.139,0.997,0.011,0.138,0.995,0.007,0.146,0.989,2.101,0.164,12.367,139585,3,1.0,,
10632,1.174,0.082,10.512,0.920,1.338,6.423,0.031,0.167,0.982,0.051,0.176,0.987,0.053,0.175,0.995,1.615,2.931,1.637,139585,3,1.0,,
10633,2.759,4.299,2.400,3.723,5.174,5.189,0.043,0.169,0.996,0.031,0.167,0.998,0.015,0.166,0.990,4.090,5.989,6.595,139585,3,1.0,,
10634,4.479,5.944,7.133,4.322,5.084,6.609,0.022,0.160,1.000,0.000,0.151,0.996,0.003,0.155,0.991,4.015,4.808,5.593,139585,3,1.0,,
10635,3.342,4.337,4.180,2.729,4.180,3.387,0.001,0.155,0.988,0.003,0.156,0.988,0.012,0.158,0.987,1.899,3.791,3.215,139585,3,1.0,,
10636,1.563,3.282,3.335,1.458,2.385,3.559,0.011,0.157,0.995,0.014,0.157,0.999,0.013,0.156,0.995,1.428,1.981,3.783,139585,3,1.0,,
10637,1.017,2.071,3.851,0.725,2.535,3.753,0.015,0.160,0.993,0.016,0.155,0.991,0.016,0.158,0.986,0.800,3.305,3.611,139585,3,1.0,,
10638,0.277,3.634,3.918,0.120,4.464,4.456,0.026,0.168,0.997,0.025,0.172,0.990,0.021,0.168,1.004,0.807,4.875,4.688,139585,3,1.0,,
10639,1.794,4.793,4.224,2.198,4.598,3.858,0.018,0.163,1.002,0.022,0.170,0.994,0.017,0.167,0.992,1.892,4.389,3.604,139585,3,1.0,,
10640,2.041,4.658,2.991,1.779,4.651,2.722,0.017,0.163,0.988,0.020,0.164,0.991,0.022,0.171,0.996,1.667,4.486,2.669,139585,3,1.0,,
10641,1.899,4.531,2.811,1.929,4.359,3.320,0.022,0.168,0.994,0.024,0.173,0.995,0.022,0.166,0.988,1.929,4.202,3.858,139585,3,1.0,,
10642,1.907,3.873,4.172,1.630,3.522,4.688,0.025,0.168,0.990,0.021,0.164,0.985,0.019,0.170,0.990,1.219,3.267,5.159,139585,3,1.0,,
10643,0.733,3.350,5.331,0.419,3.529,5.368,0.015,0.170,0.989,0.017,0.174,0.988,0.019,0.176,0.989,0.254,3.477,5.241,139585,3,1.0,,
10644,0.419,3.544,4.890,0.591,3.626,4.553,0.018,0.176,0.989,0.019,0.180,0.988,0.020,0.185,0.990,0.882,3.701,4.561,139585,3,1.0,,
10645,1.204,3.551,4.621,1.570,3.380,4.748,0.025,0.185,0.993,0.027,0.187,0.996,0.027,0.186,0.991,2.871,4.800,2.991,139585,3,1.0,,
10646,3.006,5.062,2.953,139585,3,1,,,,,,,,,,,,,,,,,
10647,3.058,5.323,3.080,0.030,0.182,0.991,0.031,0.182,0.989,0.028,0.182,0.991,3.163,5.383,3.140,3.118,5.234,3.432,139585,3,2.0,,
10648,2.968,5.234,3.282,0.027,0.185,0.990,0.023,0.182,0.988,0.026,0.182,0.991,2.953,5.196,3.185,3.088,5.152,3.133,139585,3,2.0,,
10649,3.170,5.002,3.208,0.024,0.181,0.991,0.026,0.184,0.994,0.021,0.182,0.991,3.230,4.755,3.320,3.380,4.703,3.065,139585,3,2.0,,
10650,3.193,4.352,2.886,0.021,0.176,0.989,0.026,0.180,0.992,0.037,0.185,0.990,2.475,3.813,3.252,2.497,4.202,3.664,139585,3,2.0,,
10651,2.998,4.471,3.723,0.031,0.188,0.989,0.026,0.186,0.997,0.022,0.179,0.990,3.544,4.718,3.290,3.581,4.441,2.677,139585,3,2.0,,
10652,3.589,4.082,2.168,0.026,0.177,0.992,0.030,0.178,0.992,0.031,0.181,0.989,3.140,4.127,2.393,2.729,4.733,2.744,139585,3,2.0,,
10653,2.579,5.413,2.908,0.032,0.180,0.986,0.034,0.175,0.986,0.033,0.181,0.990,2.318,5.772,3.409,2.408,5.862,3.768,139585,3,2.0,,
10654,2.729,5.720,3.604,0.028,0.185,0.992,0.020,0.177,0.996,0.016,0.181,0.990,3.006,5.809,3.095,2.759,5.944,2.781,139585,3,2.0,,
10655,2.617,6.034,2.684,0.017,0.183,0.984,0.013,0.181,0.989,0.010,0.185,0.993,2.998,5.824,2.542,3.118,5.279,2.430,139585,3,2.0,,
10656,3.200,5.234,2.437,0.012,0.183,0.994,0.009,0.179,0.987,0.009,0.180,0.985,3.103,5.084,2.348,2.849,4.419,2.602,139585,3,2.0,,
10657,2.430,3.611,3.260,0.016,0.183,0.989,0.018,0.183,0.990,0.022,0.176,0.988,2.370,3.267,3.679,2.310,3.297,4.202,139585,3,2.0,,
10658,2.378,3.432,4.479,0.023,0.186,0.988,0.024,0.186,0.988,0.026,0.183,0.994,2.654,3.387,4.337,2.864,3.230,4.194,139585,3,2.0,,
10659,2.923,3.402,4.082,0.026,0.182,0.996,0.027,0.182,0.992,0.026,0.178,0.988,2.894,3.821,3.589,2.781,4.165,3.125,139585,3,2.0,,
10660,2.707,4.449,2.976,0.028,0.181,0.990,0.029,0.181,0.991,0.031,0.184,0.989,2.520,4.651,3.193,2.400,4.987,3.537,139585,3,2.0,,
10661,2.325,5.107,3.716,0.029,0.183,0.986,0.026,0.183,0.989,0.024,0.184,0.989,2.243,5.062,3.813,2.094,4.995,3.985,139585,3,2.0,,
10662,2.183,5.002,3.873,0.020,0.185,0.986,0.015,0.183,0.985,0.012,0.180,0.986,2.497,5.002,3.596,2.460,4.449,3.544,139585,3,2.0,,
10663,2.191,3.686,3.985,0.020,0.183,0.989,0.020,0.184,0.993,0.026,0.179,0.985,1.951,3.110,4.404,1.959,3.230,5.316,139585,3,2.0,,
10664,1.465,3.028,6.901,0.028,0.184,0.986,0.040,0.196,0.993,0.036,0.193,0.990,1.555,3.282,8.404,2.153,3.619,9.092,139585,3,2.0,,
10665,2.774,3.985,8.995,0.030,0.186,0.998,0.032,0.183,0.995,0.034,0.179,0.988,2.916,4.381,8.464,2.527,5.062,7.671,139585,3,2.0,,
10666,2.064,5.570,6.946,0.027,0.179,0.980,0.026,0.182,0.979,0.025,0.187,0.987,1.406,5.286,6.400,1.391,4.561,5.944,139585,3,2.0,,
10667,1.951,3.716,5.466,0.028,0.182,0.998,0.037,0.180,0.999,0.048,0.190,1.018,2.034,3.088,5.570,1.047,4.045,5.877,139585,3,2.0,,
10668,0.299,6.572,6.056,0.036,0.191,0.999,0.036,0.195,0.974,0.023,0.191,0.951,0.920,8.875,5.914,0.815,8.815,5.712,139585,3,2.0,,
10669,0.082,6.497,5.323,0.010,0.197,0.959,0.006,0.196,0.970,0.017,0.201,0.995,1.189,2.662,5.039,2.826,1.159,4.830,139585,3,2.0,,
10670,4.000,3.387,4.322,0.024,0.205,1.023,0.030,0.203,1.026,0.035,0.196,0.993,4.082,2.228,3.477,3.365,1.555,2.811,139585,3,2.0,,
10671,2.221,4.965,2.684,0.041,0.194,0.974,0.049,0.196,0.972,0.049,0.200,0.974,1.518,6.909,3.006,1.510,7.245,3.798,139585,3,2.0,,
10672,1.809,6.512,4.606,0.043,0.205,0.984,0.036,0.207,0.989,0.029,0.208,0.990,2.183,5.421,5.152,2.482,4.411,5.099,139585,3,2.0,,
10673,2.707,3.828,4.598,0.026,0.204,0.987,0.023,0.204,0.984,0.021,0.204,0.986,2.901,3.417,3.791,3.454,2.931,2.871,139585,3,2.0,,
10674,4.067,2.901,2.056,0.030,0.195,0.996,0.034,0.193,0.986,0.051,0.203,0.999,3.858,3.484,2.011,2.804,5.062,2.692,139585,3,2.0,,
10675,1.742,7.851,3.133,0.053,0.209,1.001,0.046,0.203,0.975,0.031,0.198,0.955,1.548,10.625,3.245,1.832,10.797,3.133,139585,3,2.0,,
10676,2.916,8.793,2.916,0.022,0.200,0.964,0.020,0.202,0.978,0.021,0.196,0.998,4.703,5.981,2.079,5.899,3.237,1.301,139585,3,2.0,,
10677,5.705,1.465,0.680,0.027,0.198,1.026,0.033,0.199,1.023,0.032,0.193,1.000,5.181,1.959,0.202,4.284,3.918,0.247,139585,3,2.0,,
10678,3.237,6.213,0.045,0.028,0.188,0.976,0.031,0.190,0.960,0.030,0.197,0.963,2.258,7.544,0.912,2.153,7.439,1.854,139585,3,2.0,,
10679,2.692,5.608,2.408,0.017,0.195,0.979,0.014,0.196,0.998,0.021,0.195,0.997,3.409,3.230,2.864,3.821,1.465,3.402,139585,3,2.0,,
10680,3.694,0.793,3.731,0.023,0.198,1.002,0.030,0.193,0.997,0.029,0.192,0.979,3.155,2.161,3.851,2.460,4.232,3.843,139585,3,2.0,,
10681,1.862,5.638,3.888,0.028,0.190,0.976,0.026,0.194,0.971,0.023,0.197,0.970,1.996,5.959,4.097,3.043,4.688,3.776,139585,3,2.0,,
10682,4.419,2.594,3.275,0.022,0.196,0.989,0.026,0.195,1.002,0.031,0.193,1.010,5.294,0.860,2.662,5.196,0.381,2.019,139585,3,2.0,,
10683,4.314,1.735,1.473,0.038,0.189,1.003,0.043,0.185,0.987,0.045,0.189,0.975,2.991,4.456,1.451,1.974,7.058,2.101,139585,3,2.0,,
10684,1.413,8.105,3.252,0.048,0.192,0.976,0.047,0.203,0.984,0.037,0.200,0.987,1.622,7.948,4.389,2.176,6.819,4.890,139585,3,2.0,,
10685,2.938,5.338,4.793,0.031,0.197,0.988,0.027,0.198,0.997,0.028,0.200,0.996,3.170,4.209,4.613,2.908,4.165,4.232,139585,3,2.0,,
10686,2.774,4.837,3.559,0.027,0.199,0.987,0.023,0.195,0.981,0.019,0.195,0.979,2.901,5.563,2.901,3.223,5.480,2.527,139585,3,2.0,,
10687,3.813,4.561,2.445,0.024,0.198,0.981,0.027,0.198,0.994,0.027,0.196,0.999,4.172,3.409,2.422,4.322,2.692,2.213,139585,3,2.0,,
10688,4.052,2.961,1.914,0.029,0.194,0.999,0.027,0.189,0.989,0.025,0.189,0.980,3.394,4.023,1.832,2.811,4.897,2.303,139585,3,2.0,,
10689,2.617,4.957,3.208,0.028,0.195,0.980,0.028,0.197,0.987,0.027,0.192,0.992,2.998,3.798,3.723,3.462,2.041,3.940,139585,3,2.0,,
10690,3.155,1.151,4.643,0.025,0.189,0.992,0.040,0.200,1.005,0.050,0.200,1.016,3.409,6.295,5.473,4.486,14.984,5.346,139585,3,2.0,,
10691,6.266,24.673,4.695,0.040,0.193,1.044,0.025,0.194,1.038,0.018,0.199,0.916,5.705,23.649,3.103,5.712,1.480,1.107,139585,3,2.0,,
10692,4.830,30.161,5.974,0.036,0.156,0.809,0.001,0.174,0.849,0.063,0.191,0.931,5.488,62.596,9.301,4.269,71.157,8.329,139585,3,2.0,,
10693,4.344,61.594,5.555,0.187,0.231,1.129,0.156,0.191,1.082,0.071,0.184,1.106,5.795,41.422,3.447,5.024,9.585,1.652,139585,3,2.0,,
10694,4.875,22.505,0.374,0.029,0.186,1.118,0.072,0.175,1.073,0.140,0.162,0.973,5.495,43.687,1.540,3.394,48.891,2.714,139585,3,2.0,,
10695,2.116,18.483,5.152,0.171,0.189,0.949,0.136,0.146,0.585,0.006,0.194,0.849,1.735,26.558,6.684,1.585,61.138,6.752,139585,3,2.0,,
10696,0.852,76.211,5.488,0.061,0.223,0.984,0.118,0.196,1.050,0.106,0.182,1.133,1.084,65.938,4.150,4.052,38.326,1.765,139585,3,2.0,,
10697,5.959,0.419,2.019,0.048,0.190,1.177,0.002,0.196,1.183,0.118,0.185,1.091,6.811,35.642,4.673,6.849,56.869,4.187,139585,3,2.0,,
10698,4.082,52.420,2.064,0.186,0.178,0.993,0.234,0.162,0.799,0.161,0.138,0.555,3.791,11.492,1.555,3.439,29.272,3.432,139585,3,2.0,,
10699,0.621,41.915,1.406,0.003,0.209,0.990,0.144,0.223,1.089,0.094,0.172,1.107,3.223,36.838,0.965,5.623,18.954,2.168,139585,3,2.0,,
10700,6.804,6.385,4.105,0.028,0.175,1.107,0.022,0.182,1.112,0.089,0.168,1.028,6.864,29.862,4.972,6.677,48.113,5.346,139585,3,2.0,,
10701,5.174,54.132,4.531,0.103,0.171,1.031,0.107,0.166,0.928,0.103,0.140,0.733,4.583,33.212,2.707,3.424,7.776,1.929,139585,3,2.0,,
10702,2.183,5.480,3.275,0.021,0.181,0.905,0.117,0.203,1.063,0.118,0.186,1.039,2.363,10.939,5.234,3.873,13.286,5.585,139585,3,2.0,,
10703,4.718,11.208,5.361,0.060,0.167,1.016,0.038,0.166,1.007,0.021,0.169,0.990,4.449,6.886,5.398,3.185,1.824,5.510,139585,3,2.0,,
10704,2.243,1.413,5.189,0.023,0.177,0.985,0.016,0.168,0.974,0.023,0.164,0.992,2.056,2.961,3.701,1.936,1.436,1.877,139585,3,2.0,,
10705,1.525,1.166,0.867,0.026,0.162,0.980,0.045,0.176,1.003,0.041,0.175,0.993,1.009,3.686,0.389,1.129,6.310,0.202,139585,3,2.0,,
10706,1.518,7.110,0.688,0.035,0.172,0.982,0.037,0.178,0.988,0.040,0.183,0.995,2.176,6.116,1.869,2.684,4.187,3.335,139585,3,2.0,,
10707,2.908,2.617,4.606,0.038,0.182,0.996,0.035,0.185,0.996,0.028,0.180,0.993,3.110,2.265,5.219,2.871,2.714,5.249,139585,3,2.0,,
10708,2.497,3.776,5.032,0.030,0.180,0.994,0.026,0.180,0.984,0.024,0.180,0.987,2.370,4.867,4.591,2.527,5.204,3.940,139585,3,2.0,,
10709,2.894,4.494,3.357,0.020,0.177,0.991,0.025,0.179,0.993,0.026,0.177,0.987,3.080,3.671,3.036,3.080,2.819,2.886,139585,3,2.0,,
10710,2.998,2.363,3.006,0.034,0.179,0.989,0.039,0.178,0.990,0.046,0.182,0.994,2.841,2.131,3.380,2.692,2.333,3.873,139585,3,2.0,,
10711,2.654,2.998,4.404,0.049,0.182,0.993,0.048,0.183,0.992,0.045,0.181,0.992,2.781,3.948,4.755,2.894,4.755,4.837,139585,3,2.0,,
10712,3.103,5.084,4.688,0.042,0.178,0.990,0.040,0.177,0.990,0.038,0.177,0.991,3.200,5.114,4.396,3.140,5.219,4.120,139585,3,2.0,,
10713,3.013,5.092,3.783,0.036,0.176,0.990,0.036,0.176,0.992,0.036,0.177,0.989,2.841,4.695,3.731,2.662,4.374,3.821,139585,3,2.0,,
10714,2.669,4.501,3.948,0.038,0.177,0.990,0.035,0.176,0.989,0.038,0.178,0.991,2.587,4.516,4.067,2.624,4.710,4.142,139585,3,2.0,,
10715,2.819,4.680,4.224,0.036,0.178,0.989,0.037,0.178,0.991,0.034,0.177,0.993,2.864,4.516,4.015,2.819,4.396,3.753,139585,3,2.0,,
10716,2.639,4.307,3.566,0.036,0.178,0.992,0.036,0.180,0.991,0.033,0.172,0.990,2.811,4.449,2.991,2.781,4.374,2.819,139585,3,2.0,,
10717,2.131,4.105,3.185,0.038,0.177,0.987,0.046,0.186,0.993,0.044,0.189,0.990,1.869,4.284,3.821,2.692,4.180,3.933,139585,3,2.0,,
10718,3.589,4.127,3.626,0.039,0.181,1.001,0.039,0.180,0.996,0.041,0.180,0.989,3.589,4.000,3.335,3.342,4.060,2.781,139585,3,2.0,,
10719,3.088,3.940,2.467,0.033,0.174,0.985,0.037,0.176,0.989,0.040,0.178,0.987,2.834,3.866,2.460,2.751,3.910,2.886,139585,3,2.0,,
10720,2.826,4.180,3.267,0.041,0.183,0.992,0.043,0.182,0.993,0.042,0.182,0.990,2.841,4.643,3.514,3.095,5.017,3.537,139585,3,2.0,,
10721,3.028,4.957,3.394,0.038,0.179,0.991,0.038,0.180,0.991,0.037,0.181,0.984,2.505,4.927,3.454,2.363,5.047,3.335,139585,3,2.0,,
10722,2.340,5.009,3.013,0.034,0.180,0.987,0.034,0.178,0.992,0.038,0.180,0.994,2.363,4.763,2.931,2.400,4.823,2.976,139585,3,2.0,,
10723,2.393,5.114,3.178,0.039,0.181,0.988,0.039,0.182,0.987,0.042,0.183,0.990,2.400,5.301,3.462,2.609,5.077,3.746,139585,3,2.0,,
10724,2.923,4.845,3.851,0.041,0.185,0.995,0.040,0.183,0.995,0.038,0.183,0.992,3.178,4.837,3.768,3.133,4.867,3.409,139585,3,2.0,,
10725,3.140,4.972,3.118,0.036,0.183,0.991,0.035,0.181,0.989,0.034,0.181,0.990,3.140,4.890,2.834,3.193,4.897,2.624,139585,3,2.0,,
10726,3.290,4.957,2.452,0.034,0.181,0.990,0.034,0.181,0.990,0.035,0.182,0.992,3.454,4.920,2.482,3.462,4.927,2.400,139585,3,2.0,,
10727,3.335,4.935,2.445,0.034,0.180,0.990,0.035,0.180,0.989,0.035,0.181,0.989,3.148,4.890,2.550,3.125,4.867,2.766,139585,3,2.0,,
10728,3.297,4.695,2.923,0.035,0.181,0.989,0.034,0.181,0.993,0.034,0.180,0.990,3.469,4.546,2.953,3.619,4.426,2.998,139585,3,2.0,,
10729,3.641,4.381,2.983,0.035,0.181,0.993,0.032,0.182,0.991,0.034,0.175,0.992,3.731,4.254,2.737,3.551,4.157,2.632,139585,3,2.0,,
10730,2.714,4.180,3.170,0.036,0.177,0.986,0.045,0.184,0.990,0.041,0.184,0.990,2.565,4.688,3.873,3.357,4.658,3.866,139585,3,2.0,,
10731,3.970,4.456,3.514,0.038,0.179,1.001,0.038,0.177,0.995,0.036,0.177,0.987,3.776,4.441,3.230,3.290,4.591,2.692,139585,3,2.0,,
10732,2.961,4.666,2.228,0.032,0.173,0.987,0.034,0.173,0.988,0.039,0.177,0.988,2.722,4.725,2.318,2.662,4.980,2.751,139585,3,2.0,,
10733,2.886,5.077,3.200,0.040,0.180,0.992,0.038,0.179,0.995,0.037,0.181,0.992,3.006,5.002,3.581,3.125,5.024,3.679,139585,3,2.0,,
10734,3.013,4.808,3.723,0.031,0.176,0.991,0.032,0.180,0.991,0.034,0.180,0.983,2.699,4.875,3.589,2.639,5.226,3.566,139585,3,2.0,,
10735,2.804,5.376,3.432,0.032,0.178,0.991,0.032,0.180,0.994,0.035,0.180,0.996,3.073,5.092,3.215,3.193,5.069,2.961,139585,3,2.0,,
10736,3.133,5.211,2.744,0.032,0.179,0.991,0.034,0.179,0.988,0.032,0.177,0.988,2.991,5.346,2.527,2.961,5.353,2.594,139585,3,2.0,,
10737,2.976,5.361,2.811,0.037,0.181,0.994,0.039,0.181,0.991,0.039,0.183,0.992,2.998,5.795,3.133,2.923,6.034,3.335,139585,3,2.0,,
10738,3.080,6.109,3.282,0.037,0.181,0.993,0.034,0.180,0.992,0.030,0.178,0.990,3.103,6.221,3.133,3.028,6.153,2.834,139585,3,2.0,,
10739,3.065,6.004,2.669,0.028,0.178,0.991,0.027,0.176,0.993,0.024,0.178,0.991,3.065,5.772,2.430,3.013,5.466,2.512,139585,3,2.0,,
10740,3.080,5.009,2.527,0.026,0.181,0.993,0.024,0.180,0.994,0.023,0.180,0.991,3.208,4.673,2.557,3.484,4.770,2.594,139585,3,2.0,,
10741,3.634,5.054,2.699,0.023,0.178,0.991,0.024,0.179,0.987,0.026,0.178,0.987,3.604,5.346,2.707,3.581,5.570,2.789,139585,3,2.0,,
10742,3.686,5.712,3.021,0.025,0.178,0.987,0.027,0.176,0.990,0.025,0.176,0.993,3.701,5.802,3.237,3.559,6.011,3.394,139585,3,2.0,,
10743,3.372,5.495,3.088,0.027,0.179,0.989,0.027,0.173,0.998,0.025,0.170,0.991,3.275,5.122,2.864,2.654,4.927,3.148,139585,3,2.0,,
10744,2.333,5.286,3.746,0.031,0.178,0.989,0.027,0.183,0.984,0.022,0.178,1.000,2.707,5.451,3.806,3.619,5.503,3.656,139585,3,2.0,,
10745,3.851,5.406,3.275,0.022,0.176,0.997,0.020,0.175,0.994,0.014,0.170,0.988,3.694,5.413,2.617,3.335,5.353,2.056,139585,3,2.0,,
10746,2.819,5.443,1.869,0.017,0.171,0.986,0.021,0.175,0.988,0.021,0.176,0.989,2.490,5.548,2.041,2.490,5.241,2.437,139585,3,2.0,,
10747,2.542,4.912,2.826,0.021,0.177,0.997,0.021,0.177,0.992,0.020,0.177,0.991,2.737,4.680,3.275,2.819,4.434,3.342,139585,3,2.0,,
10748,2.572,4.725,3.492,0.019,0.177,0.993,0.018,0.177,0.983,0.018,0.177,0.991,2.482,5.077,3.499,2.766,5.092,3.305,139585,3,2.0,,
10749,3.065,4.793,3.133,0.015,0.176,0.993,0.019,0.177,0.999,0.019,0.177,0.991,3.021,4.441,2.961,2.923,4.613,2.841,139585,3,2.0,,
10750,2.774,4.830,2.819,0.020,0.176,0.988,0.022,0.178,0.989,0.024,0.179,0.993,2.542,4.606,2.953,2.527,4.322,3.260,139585,3,2.0,,
10751,2.677,4.217,3.499,0.024,0.180,0.991,0.021,0.182,0.994,0.016,0.181,0.992,2.946,4.120,3.566,3.215,3.761,3.432,139585,3,2.0,,
10752,3.409,2.856,3.215,0.013,0.181,0.992,0.009,0.180,0.992,0.006,0.179,0.994,3.514,1.406,2.908,3.522,0.172,2.692,139585,3,2.0,,
10753,3.574,0.396,2.452,0.001,0.178,0.986,0.002,0.178,0.967,0.001,0.184,0.987,3.574,0.411,2.221,3.948,0.314,1.996,139585,3,2.0,,
10754,4.673,1.959,1.413,0.012,0.177,0.981,0.021,0.177,0.989,0.018,0.185,1.001,4.755,4.411,1.368,4.920,5.697,1.398,139585,3,2.0,,
10755,5.279,6.475,1.413,0.007,0.186,0.984,0.008,0.176,0.979,0.013,0.171,0.983,5.959,7.948,1.092,6.595,10.497,0.920,139585,3,2.0,,
10756,6.662,13.825,1.346,0.020,0.169,0.991,0.012,0.176,0.988,0.004,0.171,0.968,6.699,15.499,2.004,7.118,16.180,2.512,139585,3,2.0,,
10757,8.008,18.214,2.886,0.005,0.168,0.968,0.012,0.166,0.991,0.012,0.162,0.997,9.286,22.468,3.215,10.408,29.571,3.387,139585,3,2.0,,
10758,10.991,40.300,4.576,0.022,0.161,0.991,0.046,0.170,1.001,0.099,0.188,1.015,11.021,54.087,7.282,11.021,68.831,10.475,139585,3,2.0,,
10759,12.711,81.923,12.524,0.120,0.182,1.018,0.137,0.161,1.006,0.177,0.147,0.980,14.759,93.460,13.645,16.471,106.373,14.572,139585,3,2.0,,
10760,17.735,119.606,15.641,0.257,0.145,0.992,0.285,0.134,0.981,0.331,0.124,0.905,18.602,129.192,16.113,18.101,131.039,16.621,139585,3,2.0,,
10761,16.516,128.339,16.524,0.372,0.118,0.824,0.461,0.108,0.821,0.505,0.102,0.761,12.853,120.249,15.798,9.705,104.638,14.064,139585,3,2.0,,
10762,8.038,90.275,12.628,0.529,0.079,0.705,0.568,0.081,0.708,0.675,0.085,0.786,8.217,83.179,12.912,7.462,81.348,14.931,139585,3,2.0,,
10763,7.073,74.424,15.941,0.742,0.096,0.792,0.722,0.080,0.722,0.678,0.046,0.652,7.806,61.459,14.782,8.411,51.126,13.570,139585,3,2.0,,
10764,8.636,48.136,14.729,0.697,0.056,0.668,0.789,0.081,0.730,0.868,0.090,0.788,6.692,48.412,16.479,5.907,38.715,15.103,139585,3,2.0,,
10765,5.772,24.344,11.709,0.787,0.036,0.650,0.777,0.030,0.631,0.785,0.036,0.651,5.451,16.539,9.510,5.383,16.434,9.682,139585,3,2.0,,
10766,4.172,21.144,11.597,0.823,0.052,0.678,0.851,0.066,0.686,0.797,0.030,0.617,4.232,21.399,11.955,4.434,19.791,10.976,139585,3,2.0,,
10767,4.568,19.432,9.952,0.787,0.025,0.609,0.792,0.023,0.608,0.821,0.032,0.620,4.202,21.129,9.682,3.357,23.193,9.660,139585,3,2.0,,
10768,3.424,22.543,8.942,0.842,0.032,0.617,0.834,0.018,0.596,0.843,0.017,0.588,3.589,20.232,7.933,3.409,17.683,7.006,139585,3,2.0,,
10769,3.140,15.828,6.430,0.857,0.018,0.578,0.872,0.018,0.580,0.883,0.020,0.575,2.849,14.116,6.243,2.654,11.970,6.355,139585,3,2.0,,
10770,2.273,9.690,6.572,0.888,0.020,0.565,0.894,0.025,0.565,0.892,0.024,0.564,2.258,7.043,6.871,2.662,4.239,6.909,139585,3,2.0,,
10771,3.036,1.802,6.699,0.886,0.018,0.563,0.882,0.019,0.560,0.876,0.015,0.559,3.155,0.007,6.243,3.006,1.331,5.623,139585,3,2.0,,
10772,2.639,1.839,4.860,0.866,0.014,0.548,0.863,0.012,0.551,0.860,0.016,0.542,2.146,1.929,4.269,2.049,1.966,4.023,139585,3,2.0,,
10773,2.258,1.824,3.701,0.858,0.016,0.546,0.857,0.012,0.546,0.859,0.014,0.546,2.759,2.116,3.365,2.916,2.265,3.320,139585,3,2.0,,
10774,3.110,2.318,3.230,0.859,0.017,0.545,0.861,0.015,0.547,0.859,0.013,0.548,3.140,2.348,3.095,2.946,2.505,2.871,139585,3,2.0,,
10775,2.744,2.699,2.699,0.860,0.016,0.544,0.859,0.014,0.544,0.862,0.017,0.545,2.505,2.879,2.737,2.318,2.968,3.021,139585,3,2.0,,
10776,2.258,2.998,3.170,0.864,0.019,0.542,0.862,0.016,0.543,0.864,0.019,0.539,2.108,2.938,3.380,2.064,2.953,3.738,139585,3,2.0,,
10777,2.086,2.879,3.940,0.866,0.020,0.541,0.866,0.019,0.544,0.863,0.018,0.537,2.101,3.065,3.761,2.153,3.193,3.641,139585,3,2.0,,
10778,2.258,3.230,3.469,0.867,0.018,0.537,0.866,0.016,0.535,0.867,0.019,0.533,2.280,3.237,3.312,2.400,3.252,3.245,139585,3,2.0,,
10779,2.445,3.252,3.088,0.866,0.018,0.535,0.866,0.018,0.535,0.868,0.018,0.536,2.527,3.245,3.006,2.662,3.394,3.021,139585,3,2.0,,
10780,2.774,3.589,3.133,0.870,0.019,0.534,0.871,0.018,0.536,0.871,0.019,0.535,2.901,3.910,3.312,2.968,4.150,3.499,139585,3,2.0,,
10781,2.991,4.277,3.507,0.871,0.019,0.538,0.870,0.018,0.538,0.864,0.017,0.534,3.036,4.404,3.320,2.983,4.396,3.036,139585,3,2.0,,
10782,2.908,3.993,2.826,0.865,0.015,0.534,0.866,0.017,0.537,0.864,0.017,0.533,2.714,3.679,2.587,2.647,3.641,2.295,139585,3,2.0,,
10783,2.751,3.559,2.415,0.862,0.016,0.532,0.869,0.019,0.535,0.868,0.019,0.533,2.789,3.611,2.609,2.871,3.701,2.946,139585,3,2.0,,
10784,2.894,3.761,3.140,0.871,0.021,0.533,0.872,0.021,0.535,0.868,0.016,0.538,3.148,3.821,3.110,3.260,3.843,2.594,139585,3,2.0,,
10785,2.662,3.664,2.355,0.866,0.015,0.530,0.873,0.019,0.529,0.874,0.025,0.526,2.019,4.172,2.512,2.340,4.867,2.998,139585,3,2.0,,
10786,3.021,5.039,3.372,0.875,0.023,0.537,0.877,0.023,0.535,0.875,0.024,0.531,3.365,5.032,3.679,3.574,5.159,3.544,139585,3,2.0,,
10787,3.664,5.219,3.118,0.869,0.019,0.531,0.865,0.016,0.531,0.866,0.016,0.531,3.529,5.137,2.662,3.140,5.159,2.236,139585,3,2.0,,
10788,2.968,5.122,2.034,0.863,0.017,0.529,0.863,0.016,0.533,0.866,0.021,0.532,2.826,4.882,2.116,2.729,4.546,2.572,139585,3,2.0,,
